Source,srcPort,Destination,destPort,firstSize,secondSize,threeSize,flowSize
190.84.172.100,21,214.80.45.241,3023,64,64,64,192
190.84.172.101,3020,190.84.191.47,22,66,64,72,7210
190.84.172.101,3022,190.84.175.247,902,66,64,107,365
190.84.172.101,3023,190.84.175.251,2151,66,64,71,6345
190.84.172.101,3032,207.82.231.42,80,66,64,291,549
190.84.172.101,3033,207.56.187.200,80,66,64,284,542
190.84.172.101,3035,220.174.209.27,80,66,64,323,517
190.84.172.101,3039,220.174.209.27,80,66,64,323,35473
190.84.172.101,3040,220.174.209.27,80,66,64,323,70027
190.84.172.101,3041,220.174.209.27,80,66,64,287,146017
